Assuming rdf:type as type relation
Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 272115 facts in 1.80 s using 788 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 16 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?a  /location/administrative_division/first_level_division_of  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.104918033	0.453900709	0.96969697	64	141	66	?a
?b  /location/country/second_level_divisions  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.063934426	0.084233261	0.661016949	39	463	59	?a
?b  /location/country/capital  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.093442623	0.401408451	0.606382979	57	142	94	?a
?a  /location/administrative_division/country  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.21147541	0.334196891	0.883561644	129	386	146	?a
?a  /base/aareas/schema/administrative_area/administrative_parent  ?b   => ?a  /base/biblioness/bibs_location/country  ?b	0.144262295	0.151986183	0.671755725	88	579	131	?a
?b  /location/location/contains  ?a   => ?a  /base/biblioness/bibs_location/country  ?b	0.755737705	0.088636801	0.428438662	461	5201	1076	?a
?b  /sports/sports_position/players./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.848	0.848	0.848	106	125	125	?a
?b  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.688	0.843137255	0.843137255	86	102	102	?a
?a  /sports/sports_position/players./american_football/football_historical_roster_position/position_s  ?b   => ?a  /sports/sports_position/players./sports/sports_team_roster/position  ?b	0.68	0.833333333	0.833333333	85	102	102	?a
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /sports/sports_team/roster./basketball/basketball_roster_position/position  ?b	0.814606742	0.041428571	0.828571429	145	3500	175	?a
?a  /film/film/edited_by  ?b   => ?a  /film/film/written_by  ?b	0.038119441	0.167597765	0.357142857	30	179	84	?a
?a  /film/film/story_by  ?b   => ?a  /film/film/written_by  ?b	0.10292249	0.205583756	0.43315508	81	394	187	?a
?a  /film/film/executive_produced_by  ?b   => ?a  /film/film/written_by  ?b	0.062261753	0.074018127	0.177536232	49	662	276	?a
?b  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /film/film/written_by  ?b	0.493011436	0.061812968	0.176043557	388	6277	2204	?a
?a  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?b   => ?a  /film/film/written_by  ?b	0.298602287	0.078542781	0.216989843	235	2992	1083	?a
?b  /film/director/film  ?a   => ?a  /film/film/written_by  ?b	0.378653113	0.346915017	0.62605042	298	859	476	?a
?a  /film/film/produced_by  ?b   => ?a  /film/film/written_by  ?b	0.247776366	0.151750973	0.330508475	195	1285	590	?a
?a  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?b   => ?a  /film/film/music  ?b	0.14533205	0.050467914	0.109499637	151	2992	1379	?a
?b  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /film/film/music  ?b	0.302213667	0.050023897	0.104527297	314	6277	3004	?a
?a  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.029520295	0.077669903	0.615384615	8	103	13	?a
?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?a   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.081180812	0.017295597	0.511627907	22	1272	43	?a
?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?a   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.413284133	0.037433155	0.583333333	112	2992	192	?a
?b  /tv/tv_program/program_creator  ?a   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.184501845	0.347222222	0.649350649	50	144	77	?a
?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.394833948	0.257211538	0.656441718	107	416	163	?a
?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b   => ?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b	0.549815498	0.023737454	0.462732919	149	6277	322	?a
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?b	0.803278689	0.042	0.825842697	147	3500	178	?a
?b  /user/ktrueman/default_domain/international_organization/member_states  ?a   => ?a  /organization/organization_member/member_of./organization/organization_membership/organization  ?b	0.050188206	0.223463687	0.224719101	40	179	178	?a
?a  /organization/organization_founder/organizations_founded  ?b   => ?a  /organization/organization_member/member_of./organization/organization_membership/organization  ?b	0.022584693	0.131386861	0.5625	18	137	32	?a
?a  /sports/sports_team/roster./american_football/football_historical_roster_position/position_s  ?b   => ?a  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?b	0.619546248	0.57073955	0.669811321	355	622	530	?a
?a  /sports/sports_team/roster./american_football/football_roster_position/position  ?b   => ?a  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?b	0.820244328	0.774299835	0.776859504	470	607	605	?a
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?b	0.820244328	0.134285714	0.687134503	470	3500	684	?a
?b  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?a   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.766423358	0.35472973	1	105	296	105	?a
?b  /base/biblioness/bibs_location/country  ?a   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.01459854	0.003278689	1	2	610	2	?a
?b  /base/aareas/schema/administrative_area/administrative_parent  ?a   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.160583942	0.037996546	0.239130435	22	579	92	?a
?a  /location/country/capital  ?b   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.02189781	0.021126761	1	3	142	3	?a
?b  /base/biblioness/bibs_location/state  ?a   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.299270073	0.136666667	0.172995781	41	300	237	?a
?b  /location/administrative_division/country  ?a   => ?a  /base/aareas/schema/administrative_area/capital  ?b	0.01459854	0.005181347	0.25	2	386	8	?a
?b  /government/political_party/politicians_in_this_party./government/political_party_tenure/politician  ?a   => ?a  /organization/organization_founder/organizations_founded  ?b	0.02189781	0.028037383	0.130434783	3	107	23	?a
?b  /music/record_label/artist  ?a   => ?a  /organization/organization_founder/organizations_founded  ?b	0.065693431	0.004043127	0.333333333	9	2226	27	?a
?a  /organization/organization_member/member_of./organization/organization_membership/organization  ?b   => ?a  /organization/organization_founder/organizations_founded  ?b	0.131386861	0.022584693	0.264705882	18	797	68	?a
?a  /people/person/employment_history./business/employment_tenure/company  ?b   => ?a  /organization/organization_founder/organizations_founded  ?b	0.167883212	0.07278481	0.469387755	23	316	49	?a
?b  /language/human_language/countries_spoken_in  ?a   => ?a  /location/country/official_language  ?b	0.582222222	0.391044776	0.490636704	131	335	267	?a
?b  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?a   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.053452116	0.156862745	0.279069767	24	153	86	?b
?a  /base/popstra/celebrity/breakup./base/popstra/breakup/participant  ?b   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.053452116	0.156862745	0.275862069	24	153	87	?b
?b  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?a   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.042316258	0.080508475	0.162393162	19	236	117	?b
?a  /celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity  ?b   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.040089087	0.076271186	0.153846154	18	236	117	?b
?a  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?b   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.260579065	0.083333333	0.1875	117	1404	624	?b
?b  /people/person/spouse_s./people/marriage/spouse  ?a   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.033407572	0.035128806	0.180722892	15	427	83	?b
?a  /people/person/spouse_s./people/marriage/spouse  ?b   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.033407572	0.035128806	0.182926829	15	427	82	?b
?b  /base/popstra/celebrity/dated./base/popstra/dated/participant  ?a   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.247216036	0.079059829	0.180194805	111	1404	616	?b
?b  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?a   => ?a  /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant  ?b	0.819599109	0.819599109	0.891041162	368	449	413	?b
?a  /people/person/languages  ?b   => ?a  /film/actor/dubbing_performances./film/dubbing_performance/language  ?b	0.116071429	0.01660281	0.866666667	13	783	15	?a
?b  /film/film/prequel  ?a   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.037656904	0.15	0.675	27	180	40	?a
?a  /film/film/prequel  ?b   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.033472803	0.133333333	0.6	24	180	40	?a
?a  /award/award_winner/awards_won./award/award_honor/award_winner  ?b   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.057182706	0.004867624	0.5	41	8423	82	?a
?b  /award/award_winner/awards_won./award/award_honor/award_winner  ?a   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.058577406	0.004986347	0.53164557	42	8423	79	?a
?a  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?b   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.256624826	0.387368421	0.571428571	184	475	322	?a
?b  /award/award_winning_work/awards_won./award/award_honor/honored_for  ?a   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.258019526	0.389473684	0.578125	185	475	320	?a
?b  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /award/award_nominated_work/award_nominations./award/award_nomination/nominated_for  ?b	0.825662483	0.825662483	0.850574713	592	717	696	?a
?b  /music/instrument/instrumentalists  ?a   => ?a  /music/artist/contribution./music/recording_contribution/performance_role  ?b	0.252293578	0.028379773	0.134474328	55	1938	409	?a
?a  /music/group_member/membership./music/group_membership/role  ?b   => ?a  /music/artist/contribution./music/recording_contribution/performance_role  ?b	0.146788991	0.042666667	0.165803109	32	750	193	?a
?a  /music/artist/track_contributions./music/track_contribution/role  ?b   => ?a  /music/artist/contribution./music/recording_contribution/performance_role  ?b	0.325688073	0.04006772	0.135755258	71	1772	523	?a
?a  /medicine/disease/notable_people_with_this_condition  ?b   => ?a  /people/cause_of_death/people  ?b	0.012211669	0.074380165	0.25	9	121	36	?b
?b  /government/legislative_session/members./government/government_position_held/legislative_sessions  ?a   => ?a  /government/legislative_session/members./government/government_position_held/legislative_sessions  ?b	0.820638821	0.820638821	0.820638821	668	814	814	?a
?b  /film/film/edited_by  ?a   => ?a  /film/director/film  ?b	0.036088475	0.173184358	0.25	31	179	124	?b
?b  /film/film/executive_produced_by  ?a   => ?a  /film/director/film  ?b	0.036088475	0.046827795	0.10472973	31	662	296	?b
?b  /film/film/produced_by  ?a   => ?a  /film/director/film  ?b	0.331781141	0.221789883	0.412445731	285	1285	691	?b
?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?a   => ?a  /film/director/film  ?b	0.324796275	0.093248663	0.203798393	279	2992	1369	?b
?b  /film/film/story_by  ?a   => ?a  /film/director/film  ?b	0.050058207	0.109137056	0.213930348	43	394	201	?b
?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b   => ?a  /film/director/film  ?b	0.522700815	0.071530986	0.155686546	449	6277	2884	?b
?b  /film/film/written_by  ?a   => ?a  /film/director/film  ?b	0.346915017	0.378653113	0.538878843	298	787	553	?b
?b  /sports/sports_position/players./sports/sports_team_roster/team  ?a   => ?a  /ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position  ?b	0.743801653	0.025714286	0.782608696	90	3500	115	?a
?b  /film/film/production_companies  ?a   => ?a  /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film  ?b	0.308087291	0.459183673	0.522496372	720	1568	1378	?b
?a  /film/film/country  ?b   => ?a  /film/film/distributors./film/film_film_distributor_relationship/region  ?b	0.178343949	0.011632738	0.150537634	28	2407	186	?a
?b  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?a   => ?a  /film/film/cinematography  ?b	0.404761905	0.021666401	0.116338751	136	6277	1169	?a
?b  /location/country/official_language  ?a   => ?a  /language/human_language/countries_spoken_in  ?b	0.391044776	0.582222222	0.775147929	131	225	169	?b
?a  /sports/pro_athlete/teams./sports/sports_team_roster/team  ?b   => ?a  /soccer/football_player/current_team./sports/sports_team_roster/team  ?b	0.843283582	0.668639053	0.843283582	452	676	536	?b
?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b	0.358974359	0.116666667	1	42	360	42	?a
?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b	0.717948718	0.176470588	1	84	476	84	?a
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b	0.547008547	0.140350877	0.96969697	64	456	66	?a
?b  /location/us_county/county_seat  ?a   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.412162162	0.674033149	1	122	181	122	?b
?b  /base/aareas/schema/administrative_area/capital  ?a   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.35472973	0.766423358	1	105	137	105	?b
?a  /base/aareas/schema/administrative_area/administrative_parent  ?b   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.077702703	0.039723661	0.25	23	579	92	?b
?a  /base/biblioness/bibs_location/state  ?b   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.131756757	0.13	0.176470588	39	300	221	?b
?a  /location/hud_county_place/county  ?b   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.351351351	0.340983607	0.538860104	104	305	193	?b
?b  /location/location/contains  ?a   => ?a  /location/capital_of_administrative_division/capital_of./location/administrative_division_capital_relationship/administrative_division  ?b	0.726351351	0.041338204	0.171042164	215	5201	1257	?b
?b  /olympics/olympic_games/sports  ?a   => ?a  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics  ?b	0.687664042	0.394578313	0.395770393	262	664	662	?a
?b  /user/jg/default_domain/olympic_games/sports  ?a   => ?a  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics  ?b	0.572178478	0.375215146	0.377816291	218	581	577	?a
?b  /music/instrument/family  ?a   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.011330698	0.43	0.434343434	43	100	99	?b
?b  /music/performance_role/guest_performances./music/recording_contribution/performance_role  ?a   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.07826087	0.597585513	0.620041754	297	497	479	?b
?a  /music/instrument/family  ?b   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.011857708	0.45	0.45	45	100	100	?b
?a  /music/performance_role/guest_performances./music/recording_contribution/performance_role  ?b   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.078524374	0.599597586	0.620833333	298	497	480	?b
?a  /music/performance_role/regular_performances./music/group_membership/role  ?b   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.310144928	0.443314501	0.458333333	1177	2655	2568	?b
?b  /music/performance_role/regular_performances./music/group_membership/role  ?a   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.312779974	0.447080979	0.462768031	1187	2655	2565	?b
?b  /music/performance_role/track_performances./music/track_contribution/role  ?a   => ?a  /music/performance_role/track_performances./music/track_contribution/role  ?b	0.808432148	0.808432148	0.808432148	3068	3795	3795	?b
?b  /award/award_winning_work/awards_won./award/award_honor/award_winner  ?a   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.365384615	0.050802139	0.542857143	152	2992	280	?a
?b  /tv/tv_program/regular_cast./tv/regular_tv_appearance/actor  ?a   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.091346154	0.029874214	0.716981132	38	1272	53	?a
?b  /tv/tv_program/program_creator  ?a   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.240384615	0.694444444	0.806451613	100	144	124	?a
?a  /tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program  ?b   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.014423077	0.058252427	0.4	6	103	15	?a
?a  /award/award_nominee/award_nominations./award/award_nomination/nominated_for  ?b   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.581730769	0.038553449	0.463601533	242	6277	522	?a
?a  /tv/tv_writer/tv_programs./tv/tv_program_writer_relationship/tv_program  ?b   => ?a  /tv/tv_producer/programs_produced./tv/tv_producer_term/program  ?b	0.257211538	0.394833948	0.758865248	107	271	141	?a
?a  /olympics/olympic_games/sports  ?b   => ?a  /user/jg/default_domain/olympic_games/sports  ?b	0.831325301	0.727409639	0.755868545	483	664	639	?b
?b  /olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/olympics  ?a   => ?a  /user/jg/default_domain/olympic_games/sports  ?b	0.375215146	0.572178478	0.656626506	218	381	332	?b
?b  /sports/sports_team/roster./baseball/baseball_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.042	0.803278689	0.803278689	147	183	183	?b
?b  /american_football/football_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.134285714	0.820244328	0.820244328	470	573	573	?b
?b  /ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.025714286	0.743801653	0.743801653	90	121	121	?b
?b  /sports/sports_team/roster./american_football/football_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.139142857	0.802306425	0.803630363	487	607	606	?b
?b  /sports/sports_team/roster./basketball/basketball_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.041428571	0.814606742	0.823863636	145	178	176	?b
?b  /sports/sports_team/roster./american_football/football_historical_roster_position/position_s  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.145142857	0.816720257	0.819354839	508	622	620	?b
?b  /soccer/football_team/current_roster./sports/sports_team_roster/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.522285714	0.808134394	0.809924679	1828	2262	2257	?b
?b  /soccer/football_team/current_roster./soccer/football_roster_position/position  ?a   => ?a  /sports/sports_position/players./sports/sports_team_roster/team  ?b	0.526857143	0.814128035	0.816290394	1844	2265	2259	?b
?a  /education/university/domestic_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.8	0.605042017	1	288	476	288	?a
?a  /business/business_operation/operating_income./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.222222222	0.404040404	1	80	198	80	?a
?a  /education/university/international_tuition./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.116666667	0.358974359	1	42	117	42	?a
?a  /organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.777777778	0.614035088	0.996441281	280	456	281	?a
?a  /business/business_operation/revenue./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.216666667	0.362790698	1	78	215	78	?a
?a  /business/business_operation/assets./measurement_unit/dated_money_value/currency  ?b   => ?a  /education/university/local_tuition./measurement_unit/dated_money_value/currency  ?b	0.219444444	0.436464088	1	79	181	79	?a
?b  /location/location/contains  ?a   => ?a  /organization/organization/place_founded  ?b	0.028846154	0.000576812	0.428571429	3	5201	7	?a
?a  /organization/organization/headquarters./location/mailing_address/citytown  ?b   => ?a  /organization/organization/place_founded  ?b	0.394230769	0.048122066	0.460674157	41	852	89	?a
?a  /location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency  ?b   => ?a  /location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency  ?b	0.8	0.673684211	1	128	190	128	?a
